"Kunde";"ec617965-88b4-4721-8158-ee36c38e4db3";
"Zählernummer";"Xr-2018-2312456ab";
;;
"Datum";"Zählerstand in MWh";"Kommentar"
01.02.2018;5,965;
01.04.2018;6,597;
01.05.2018;6,859;
01.07.2018;7,344;
01.08.2018;7,558;
01.09.2018;7,745;
01.10.2018;7,946;
01.11.2018;8,183;
01.12.2018;8,447;
31.12.2018;8,745;
01.02.2019;9,062;
04.03.2019;9,42;
02.04.2019;9,724;
01.05.2019;9,962;
01.06.2019;10,231;
30.06.2019;10,47;
01.08.2019;10,706;
31.08.2019;10,904;
30.09.2019;11,118;
30.10.2019;11,352;
24.11.2019;11,539;
01.12.2019;11,606;
31.12.2019;11,88;
01.02.2020;12,177;
01.03.2020;12,446;
03.05.2020;13,01;
31.05.2020;13,228;
01.07.2020;13,464;
01.08.2020;13,67;
01.09.2020;13,858;
01.10.2020;14,064;
01.11.2020;14,303;
26.11.2020;14,51;
05.12.2020;14,596;
31.12.2020;14,843;
02.03.2021;15,401;
01.04.2021;15,683;
01.05.2021;15,942;
01.06.2021;16,21;
22.06.2021;16,374;
22.06.2021;0;"Zählertausch: neue Nummer Xr-2021-2312434xz"
01.07.2021;0,058;
01.08.2021;0,266;
01.09.2021;0,434;
02.10.2021;0,632;
01.11.2021;0,854;
28.11.2021;1,082;
01.01.2022;1,388;
27.02.2022;1,918;
10.04.2022;2,283;
01.08.2022;3,067;
01.09.2022;3,255;
30.09.2022;3,435;
29.10.2022;3,641;
28.11.2022;3,855;
31.12.2022;4,115;
01.03.2023;4,612;
01.05.2023;5,103;
31.05.2023;5,352;
01.08.2023;5,803;
31.08.2023;5,996;
19.09.2023;6,129;
20.09.2023;6,135;
21.09.2023;6,145;
22.09.2023;6,151;
23.09.2023;6,157;
30.09.2023;6,208;
30.10.2023;6,428;
25.11.2023;6,637;
01.12.2023;6,741;
08.12.2023;6,967;
31.12.2023;7,197;
03.02.2024;7,589;
31.03.2024;8,108;
01.05.2024;8,38;
