"Kunde";"ec617965-88b4-4721-8158-ee36c38e4db3";
"Zählernummer";"MST-af34569";
;;
;;
"Datum";"Zählerstand in kWh";"Kommentar"
"01.02.2018";16573;
"01.04.2018";17056;
"01.05.2018";17272;
"01.07.2018";17734;
"01.08.2018";17962;
"01.09.2018";18209;
"01.10.2018";18437;
"01.11.2018";18679;
"01.12.2018";18937;
"31.12.2018";19185;
"01.02.2019";19471;
"04.03.2019";19738;
"02.04.2019";19988;
"01.05.2019";20240;
"01.06.2019";20494;
"30.06.2019";20741;
"01.08.2019";21012;
"31.08.2019";21262;
"30.09.2019";21505;
"31.10.2019";21736;
"01.12.2019";21993;
"31.12.2019";22241;
"01.02.2020";22520;
"01.03.2020";22737;
"03.05.2020";23274;
"31.05.2020";23467;
"01.07.2020";23662;
"01.08.2020";23847;
"01.09.2020";24060;
"01.10.2020";24237;
"01.11.2020";24453;
"05.12.2020";24702;
"31.12.2020";24910;
"01.04.2021";25587;
"01.05.2021";25810;
"01.06.2021";26048;
"01.07.2021";26245;
"01.08.2021";26441;
"01.09.2021";26616;
"02.10.2021";26825;
"01.11.2021";27030;
"28.11.2021";27226;
"01.01.2022";27467;
"27.02.2022";27860;
"10.04.2022";28135;
"01.08.2022";28853;
"01.09.2022";29052;
"30.09.2022";29245;
"29.10.2022";29436;
"28.11.2022";29621;
"31.12.2022";29818;
01.03.2023;30194;
01.05.2023;30566;
31.05.2023;30774;
01.08.2023;31171;
31.08.2023;31369;
30.09.2023;31561;
30.10.2023;31762;
01.12.2023;31994;
05.12.2023;32021;
31.12.2023;32205;
03.02.2024;32458;
31.03.2024;32848;
01.05.2024;33065;
