"Kunde";"ec617965-88b4-4721-8158-ee36c38e4db3";
"Zählernummer";23451007;
;;
;;
;;
"Datum";"Zählerstand in m³";"Kommentar"
01.02.2018;473;
01.04.2018;495;
01.05.2018;505;
01.08.2018;542;
01.09.2018;556;
01.10.2018;565;
01.11.2018;574;
01.12.2018;584;
31.12.2018;594;
31.12.2018;596;
01.02.2019;604;
04.03.2019;615;
02.04.2019;625;
01.05.2019;634;
01.06.2019;644;
30.06.2019;662;
01.08.2019;674;
31.08.2019;683;
30.09.2019;692;
30.10.2019;701;
01.12.2019;710;
31.12.2019;719;
31.12.2019;722;
01.02.2020;728;
01.03.2020;736;
03.03.2020;737;
03.03.2020;0;"Zählertausch: neue Nummer 786523123"
03.05.2020;20;
31.05.2020;29;
01.07.2020;38;
01.08.2020;47;
01.09.2020;56;
01.10.2020;63;
01.11.2020;71;
05.12.2020;81;
31.12.2020;89;
01.04.2021;114;
01.05.2021;122;
01.06.2021;131;
01.07.2021;142;
01.08.2021;150;
01.09.2021;156;
02.10.2021;164;
01.11.2021;172;
28.11.2021;178;
01.01.2022;187;
27.02.2022;202;
10.04.2022;214;
01.08.2022;242;
01.09.2022;252;
30.09.2022;258;
29.10.2022;265;
28.11.2022;271;
31.12.2022;278;
01.03.2023;292;
01.05.2023;305;
31.05.2023;314;
01.08.2023;334;
31.08.2023;343;
30.09.2023;350;
30.10.2023;357;
01.12.2023;365;
31.12.2023;372;
03.02.2024;380;
31.03.2024;393;
01.05.2024;403;
